game,flagSide,team,result,top,jungle,mid,carry,supp,ban1,ban2,ban3,ban4,ban5,firstBlood,firstTower,firstHerald,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35
ESPORTSTMNT03_2542652,0,FURIA Esports,1,109,106,112,523,89,124,126,13,59,78,1,1.0,0.0,first_blood,,first_tower_bot,herald,,,,dragon,first_tower_top,,first_tower_mid,,second_tower_bot,,dragon,,,baron,second_tower_mid,second_tower_top,third_tower_top,inhibitor_top,,dragon,third_tower_bot,inhibitor_bot,third_tower_mid,baron,inhibitor_mid,nexus_tower,nexus_tower,nexus,,,
ESPORTSTMNT03_2542716,1,Netshoes Miners,0,109,48,112,222,111,412,51,124,117,201,0,1.0,0.0,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD
ESPORTSTMNT03_2542716,0,LOUD,1,40,64,13,523,89,123,104,5,134,142,1,0.0,1.0,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD,FALHA NA HUD
ESPORTSTMNT03_2542777,1,RED Canids,1,79,5,61,222,43,40,59,4,84,89,1,1.0,0.0,,first_blood,dragon,first_tower_bot,,second_tower_bot,,dragon,first_tower_top,first_tower_mid,,second_tower_top,second_tower_mid,third_tower_top,third_tower_mid,inhibitor_top,inhibitor_mid,nexus_tower,nexus_tower,nexus,,,,,,,,,,,,,,,
ESPORTSTMNT03_2542777,0,INTZ,0,126,64,13,523,111,124,51,109,164,412,0,0.0,1.0,herald,,,,first_tower_top,,first_tower_mid,,,,first_tower_bot,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2542841,1,Rensga eSports,0,875,5,42,202,43,109,64,4,59,142,0,0.0,0.0,,,,,,herald,first_tower_top,,,,first_tower_bot,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2542841,0,paiN Gaming,1,126,106,134,51,99,124,235,13,54,516,1,1.0,1.0,first_blood,dragon,dragon,first_tower_bot,first_tower_mid,,,dragon,first_tower_top,dragon,,second_tower_top,baron,third_tower_top,inhibitor_top,elder_dragon,second_tower_bot,third_tower_bot,inhibitor_bot,third_tower_mid,inhibitor_mid,nexus_tower,nexus_tower,nexus,,,,,,,,,,,
ESPORTSTMNT03_2544211,1,INTZ Academy,1,126,120,112,124,89,70,109,267,497,12,0,1.0,1.0,,herald,first_tower_top,herald,,,first_tower_bot,first_tower_mid,second_tower_mid,dragon,baron,second_tower_bot,third_tower_mid,inhibitor_mid,third_tower_bot,inhibitor_bot,second_tower_top,third_tower_top,inhibitor_top,nexus_tower,baron,inhibitor_mid,nexus_tower,nexus,,,,,,,,,,,
ESPORTSTMNT03_2544211,0,Rensga Academy,0,54,64,123,222,111,13,59,104,350,26,1,0.0,0.0,first_blood,,,,dragon,first_tower_bot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2544300,1,Flamengo Academy,0,85,59,4,222,111,497,43,64,40,432,0,0.0,1.0,,herald,dragon,,,herald,,,first_tower_mid,,,,baron,second_tower_mid,first_tower_top,first_tower_bot,,,,,,,,,,,,,,,,,,,
