gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT01_2695774,complete,,CBLOL,2022,Split 1,0,22/01/2022 17:19,1,1201,200,Red,team,,,Flamengo Esports,oe:team:5ef087125f8255546c01970122b3cec,,Nidalee,Corki,Diana,Lee Sin,Jayce,2152,0,7,21,12,7,21,0,0,0,0,1,,,,1952,7807,0,1,3,1,3,0,0,0,0,0,1,,0,0,0,0,2,0,0,2,0,2,10,0,0,3,2,0,2,53023,14783364,,28563011,24994238,117,32621,63,17565,51,288,80297,59163,35834,9990892,,57905,-157798,,1064,207,,,354368,16449,19211,380,15057,18713,341,1392,498,39,1,1,0,0,0,1,24766,30058,589,24237,30459,526,529,-401,63,2,4,3,3,11,2
ESPORTSTMNT01_2695807,complete,,CBLOL,2022,Split 1,0,22/01/2022 18:29,1,1201,1,Blue,top,Parang,oe:player:47a2fd48766f50394a3110fd124de77,KaBuM! e-Sports,oe:team:9dced510f02f8586ee7501922484ac0,Graves,Ziggs,Renekton,Twisted Fate,Jhin,Ezreal,1587,1,4,2,6,15,8,0,0,0,0,0,0,0,0,5671,8318,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,21982,8310775,333237,7408318,7620416,13,4915,2,756,5,24,9074,11485,7971,3013611,237627,9800,,234,206,28,,,88469,3638,5043,82,3255,4685,80,383,358,2,1,1,1,0,1,1,5178,7754,129,4894,7403,128,284,351,1,1,1,1,0,1,1
ESPORTSTMNT01_2695807,complete,,CBLOL,2022,Split 1,0,22/01/2022 18:29,1,1201,2,Blue,jng,Wiz,oe:player:3d6241a697bf77c402bad659fb172ab,KaBuM! e-Sports,oe:team:9dced510f02f8586ee7501922484ac0,Lee Sin,Ziggs,Renekton,Twisted Fate,Jhin,Ezreal,1587,1,2,2,11,15,8,0,0,0,0,0,0,0,1,5671,8318,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,0,0,10075,3809074,152733,10198866,9104348,13,4915,7,2647,6,25,9452,8938,5424,2050662,161699,7700,,146,20,126,,,55198,2776,3190,54,3139,3240,62,-363,-50,-8,0,1,1,0,2,0,4253,5475,93,4544,4867,93,-291,608,0,0,1,1,0,2,0
ESPORTSTMNT01_2695807,complete,,CBLOL,2022,Split 1,0,22/01/2022 18:29,1,1201,3,Blue,mid,Hauz,oe:player:979d7cbbe1e2a8b55d503047f5c72a0,KaBuM! e-Sports,oe:team:9dced510f02f8586ee7501922484ac0,Viktor,Ziggs,Renekton,Twisted Fate,Jhin,Ezreal,1587,1,6,0,8,15,8,1,0,0,0,0,0,0,0,5671,8318,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,20656,7809452,313136,3206049,3718715,11,4159,6,2268,7,29,10964,12204,8690,3285444,259061,9875,,260,248,12,,,98299,3669,4945,88,3507,4634,79,162,311,9,1,1,0,1,1,1,5604,7875,149,5298,7426,134,306,449,15,1,1,0,1,1,1
ESPORTSTMNT01_2695807,complete,,CBLOL,2022,Split 1,0,22/01/2022 18:29,1,1201,4,Blue,bot,Disave,oe:player:bead6d34dbffe42a8c5984aa0dbaeda,KaBuM! e-Sports,oe:team:9dced510f02f8586ee7501922484ac0,Caitlyn,Ziggs,Renekton,Twisted Fate,Jhin,Ezreal,1587,1,2,0,9,15,8,0,0,0,0,0,0,0,0,5671,8318,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1,0,8999,3402268,136421,3513043,1733459,13,4915,15,5671,6,38,14367,11853,8339,3152741,248598,10350,,237,227,10,,,89603,3241,3295,85,3819,3290,90,-578,5,-5,0,0,0,2,0,0,6006,5901,141,5442,5564,135,564,337,6,0,0,0,2,0,0
ESPORTSTMNT01_2695807,complete,,CBLOL,2022,Split 1,0,22/01/2022 18:29,1,1201,5,Blue,sup,Scuro,oe:player:70d516fd78bcce28e19f4b422bb9f02,KaBuM! e-Sports,oe:team:9dced510f02f8586ee7501922484ac0,Nautilus,Ziggs,Renekton,Twisted Fate,Jhin,Ezreal,1587,1,1,4,8,15,8,0,0,0,0,0,0,0,0,5671,8318,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,4253,1607940,644736,4012476,5856333,34,12854,5,1890,13,53,20038,6634,3120,1179584,930146,5525,,28,28,0,,,10586,2004,2072,13,2292,2783,3,-288,-711,10,0,0,1,0,2,0,2987,2992,19,3104,3396,4,-117,-404,15,0,0,1,0,2,0
ESPORTSTMNT01_2695807,complete,,CBLOL,2022,Split 1,0,22/01/2022 18:29,1,1201,6,Red,top,Tyrin,oe:player:4a0d0414aac330b32a1a4dd6bac8743,INTZ,oe:team:bcb21457414eb9be1d27489ff7e8e59,Gwen,Corki,Jayce,Akali,Kennen,Jax,1587,0,1,2,2,7,15,0,0,0,0,1,0,1,0,2647,8318,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,12651,4782987,270072,6883932,6499811,13,4915,4,1512,5,29,10964,9169,5655,2137996,249623,8275,,229,228,1,,,86578,3255,4685,80,3638,5043,82,-383,-358,-2,0,1,1,1,1,1,4894,7403,128,5178,7754,129,-284,-351,-1,0,1,1,1,1,1
ESPORTSTMNT01_2695807,complete,,CBLOL,2022,Split 1,0,22/01/2022 18:29,1,1201,7,Red,jng,Yampi,oe:player:65d1e475734633e28d4523d92a90837,INTZ,oe:team:bcb21457414eb9be1d27489ff7e8e59,Xin Zhao,Corki,Jayce,Akali,Kennen,Jax,1587,0,1,4,4,7,15,0,0,0,0,1,0,1,0,2647,8318,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,0,0,5787,2187902,12354,10643856,6217769,8,3025,10,3781,8,38,14367,7912,4398,1662760,194138,7575,,148,21,127,,,55955,3139,3240,62,2776,3190,54,363,50,8,0,2,0,0,1,1,4544,4867,93,4253,5475,93,291,-608,0,0,2,0,0,1,1
ESPORTSTMNT01_2695807,complete,,CBLOL,2022,Split 1,0,22/01/2022 18:29,1,1201,8,Red,mid,Kick,oe:player:302f32028cef9d7eeda1dbe74cf59ee,INTZ,oe:team:bcb21457414eb9be1d27489ff7e8e59,LeBlanc,Corki,Jayce,Akali,Kennen,Jax,1587,0,2,5,2,7,15,0,0,0,0,1,1,0,0,2647,8318,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,9082,3433648,193882,7102836,3484688,19,7183,4,1512,8,37,13989,8435,4921,1860491,217224,8050,,197,189,8,,,74480,3507,4634,79,3669,4945,88,-162,-311,-9,1,1,1,1,1,0,5298,7426,134,5604,7875,149,-306,-449,-15,1,1,1,1,1,0
ESPORTSTMNT01_2695807,complete,,CBLOL,2022,Split 1,0,22/01/2022 18:29,1,1201,9,Red,bot,micaO,oe:player:0ce788d020173e8e2e683515c31efda,INTZ,oe:team:bcb21457414eb9be1d27489ff7e8e59,Sivir,Corki,Jayce,Akali,Kennen,Jax,1587,0,2,3,2,7,15,0,0,0,0,0,0,0,0,2647,8318,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,1,11984,4530813,255833,4440076,2220794,12,4537,7,2647,6,26,9830,8901,5387,2036673,237793,8825,,217,209,8,,,82042,3819,3290,90,3241,3295,85,578,-5,5,2,0,0,0,0,0,5442,5564,135,6006,5901,141,-564,-337,-6,2,0,0,0,0,0
