golId,result,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,BLUE:kill,BLUE:plateBLUE:first_blood,BLUE:dragon,BLUE:herald,BLUE:first_tower_top,BLUE:first_tower_mid,BLUE:first_tower_bot,BLUE:second_tower_top,BLUE:second_tower_mid,BLUE:second_tower_bot,BLUE:third_tower_top,BLUE:third_tower_mid,BLUE:third_tower_bot,BLUE:inhibitor_top,BLUE:inhibitor_mid,BLUE:inhibitor_bot,BLUE:baron,BLUE:elder_dragon,BLUE:nexus_tower,BLUE:nexus,RED:kill,RED:plate,RED:first_blood,RED:dragon,RED:herald,RED:first_tower_top,RED:first_tower_mid,RED:first_tower_bot,RED:second_tower_top,RED:second_tower_mid,RED:second_tower_bot,RED:third_tower_top,RED:third_tower_mid,RED:third_tower_bot,RED:inhibitor_top,RED:inhibitor_mid,RED:inhibitor_bot,RED:baron,RED:elder_dragon,RED:nexus_tower,RED:nexus
41616,1,1,0.0,1.5,1,1.0,3.0,0,0.0,0.0,0,0.0,0.0,1,1.0,0.5,0,0.0,0.0,0,0.0,0.0,6,0.33,1.42,1,1.0,0.67,0,0.0,0.0,6,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41617,0,1,1.0,7.0,5,0.2,4.5,0,0.0,0.0,2,1.0,7.0,2,1.0,10.33,3,0.67,2.33,6,0.67,3.07,4,0.5,4.11,0,0.0,0.0,2,0.5,6.5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,2,0,2,1
41621,0,11,0.64,2.57,7,1.0,4.79,4,0.5,4.11,0,0.0,0.0,0,0.0,0.0,3,0.67,1.45,7,0.43,3.88,0,0.0,0.0,1,0.0,1.33,1,1.0,1.17,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,2,1
41619,1,1,1.0,1.67,0,0.0,0.0,0,0.0,0.0,1,1.0,1.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,9,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
41620,1,4,0.75,1.06,0,0.0,0.0,0,0.0,0.0,1,1.0,2.33,2,1.0,1.57,0,0.0,0.0,8,0.75,6.91,1,1.0,2.0,2,1.0,25.0,4,0.5,3.0,16,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,2,1,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41623,1,0,0.0,0.0,0,0.0,0.0,2,0.5,4.75,13,0.62,8.88,6,0.5,7.62,4,0.25,4.75,0,0.0,0.0,0,0.0,0.0,1,1.0,13.0,0,0.0,0.0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41624,1,0,0.0,0.0,6,0.67,3.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,0.75,2.0,1,0.0,2.25,2,1.0,6.25,0,0.0,0.0,8,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41628,0,4,0.75,4.43,0,0.0,0.0,2,0.5,1.89,0,0.0,0.0,0,0.0,0.0,1,1.0,11.0,0,0.0,0.0,5,0.4,3.46,1,1.0,10.0,0,0.0,0.0,6,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,12,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,2,1
41626,0,0,0.0,0.0,0,0.0,0.0,1,0.0,6.0,7,0.86,7.0,0,0.0,0.0,1,1.0,1.4,2,1.0,2.12,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,0,1,0,1,1,1,1,1,1,1,1,1,2,0,2,1
41625,1,2,1.0,4.0,8,0.62,3.81,7,0.57,4.8,6,0.5,8.2,2,0.5,19.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,4.67,14,0,0,0,0,0,1,1,1,1,0,1,0,0,2,0,2,0,2,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41627,1,4,1.0,4.44,6,0.33,4.57,11,0.64,5.95,1,1.0,9.0,1,0.0,2.75,0,0.0,0.0,8,0.38,6.93,0,0.0,0.0,2,0.5,6.0,0,0.0,0.0,15,0,3,0,0,0,0,1,1,1,0,1,1,0,1,2,1,0,2,1,7,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
41632,0,0,0.0,0.0,1,0.0,4.67,0,0.0,0.0,5,0.4,1.84,0,0.0,0.0,4,0.25,2.2,6,0.33,1.64,1,0.0,2.25,3,0.67,2.86,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,2,1
41631,0,4,0.75,2.5,6,0.5,3.43,5,0.4,3.46,1,1.0,10.0,11,0.64,2.38,0,0.0,0.0,2,1.0,8.0,1,0.0,11.0,6,0.67,3.6,0,0.0,0.0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,2,1
41630,1,4,0.75,4.43,0,0.0,0.0,2,1.0,2.67,0,0.0,0.0,1,1.0,7.0,1,1.0,9.0,2,1.0,2.12,2,0.5,19.0,3,0.67,6.67,1,1.0,1.17,12,0,2,0,0,1,1,0,1,0,0,1,0,0,1,0,2,0,2,1,9,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41644,1,7,0.86,4.47,1,0.0,16.0,1,0.0,14.0,0,0.0,0.0,1,1.0,3.33,3,1.0,10.0,1,1.0,11.0,5,0.8,6.75,1,1.0,14.0,1,1.0,4.67,17,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,2,1,10,0,0,3,0,0,1,0,1,1,1,1,1,1,1,0,1,2,0,1,0
41629,0,0,0.0,0.0,0,0.0,0.0,7,0.43,24.25,4,0.75,13.25,0,0.0,0.0,0,0.0,0.0,7,0.43,2.52,0,0.0,0.0,8,0.88,5.58,9,0.56,2.36,13,0,2,0,0,0,1,1,1,1,0,1,1,0,1,2,0,0,0,0,9,0,0,2,0,0,1,0,1,0,1,1,0,0,2,0,0,2,0,2,1
41633,0,0,0.0,0.0,7,0.14,3.67,2,0.5,3.0,5,0.8,5.3,1,1.0,2.67,3,0.33,2.69,3,0.67,5.0,0,0.0,0.0,1,0.0,16.0,12,0.33,2.83,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,2,1
41645,0,4,1.0,2.64,3,0.67,2.56,0,0.0,0.0,1,1.0,15.0,1,1.0,2.33,3,0.33,2.22,5,0.8,2.61,1,0.0,2.17,5,0.2,4.71,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1
41648,1,2,0.5,2.14,1,0.0,1.4,4,0.25,7.83,2,0.0,1.89,0,0.0,0.0,6,0.83,12.4,5,0.6,2.58,1,0.0,3.5,1,1.0,6.0,8,0.5,4.16,11,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
