game,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
ESPORTSTMNT02_3159449,0,0,0,1,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,1.0,0,0,0,3,0.33,1.75,0,0,0,1
ESPORTSTMNT01_3302641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,5.33,0,0,0,1,0.0,4.67,2,0.5,7.0,0
ESPORTSTMNT03_3114863,2,1.0,7.0,1,0.0,4.5,1,1.0,13,2,0.0,3.0,1,1.0,3.5,0,0,0,0,0,0,1,0.0,3.0,0,0,0,0,0,0,1
ESPORTSTMNT03_3087499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ESPORTSTMNT01_3331800,4,1.0,6.5,6,0.17,4.4,5,0.6,6.57,0,0,0,0,0,0,7,0.43,9.0,14,0.5,2.97,5,0.6,37.0,6,0.67,9.2,4,0.5,3.0,1
ESPORTSTMNT03_3094757,0,0,0,1,0.0,4.0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,1,1.0,6.0,0,0,0,0,0,0,0,0,0,0
ESPORTSTMNT01_3340970,10,0.7,2.73,1,1.0,7,1,0.0,13.0,4,0.75,3.5,0,0,0,3,1.0,7.0,9,0.67,4.71,2,0.0,15,2,1.0,6.0,5,0.6,7.8,0
ESPORTSTMNT03_3090339,2,0.5,3.0,2,0.0,3.67,1,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,3.25,3,0.67,5.75,2,0.5,6.0,1
ESPORTSTMNT03_3087701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ESPORTSTMNT01_3312690,1,0.0,1.8,4,0.25,3.58,1,0.0,1.0,1,0.0,1.0,0,0,0,1,1.0,0.25,0,0,0,0,0,0,1,0.0,4.0,1,1.0,4.0,0
ESPORTSTMNT01_3325316,2,1.0,1.57,7,0.43,12.0,3,0.0,13.0,2,0.5,6.5,4,0.5,6.0,9,0.67,4.69,1,1.0,10,0,0,0,3,1.0,9.33,2,1.0,12.0,0
ESPORTSTMNT03_3128996,1,0.0,1.67,3,0.67,4.25,0,0,0,0,0,0,0,0,0,3,0.33,1.25,2,0.5,4.75,0,0,0,1,1.0,4.5,2,0.5,3.43,0
ESPORTSTMNT01_3338726,0,0,0,6,0.5,5.58,0,0,0,1,0.0,7,3,0.33,9.0,14,0.71,3.81,10,0.6,4.46,2,0.5,17.0,2,0.0,14,3,0.0,24.0,0
ESPORTSTMNT01_3344136,4,0.5,4.8,3,0.67,4.17,1,1.0,5,5,0.8,8.2,4,0.75,5.86,2,0.0,6.0,14,0.57,3.28,3,1.0,2.5,4,0.75,3.5,2,0.5,3.8,0
ESPORTSTMNT03_3093250,0,0,0,1,1.0,5.33,2,0.5,3.5,2,1.0,11.33,2,1.0,38.0,3,1.0,7.33,1,1.0,11.0,0,0,0,0,0,0,1,1.0,15,0
ESPORTSTMNT01_3304899,2,0.5,2.5,6,0.5,3.8,1,1.0,8.0,2,0.5,4.0,3,1.0,17.0,3,0.67,2.88,0,0,0,4,0.5,2.4,4,0.25,3.0,3,0.33,1.44,1
ESPORTSTMNT01_3309997,2,0.0,1.25,2,0.0,2.67,4,0.25,4.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.57,3.0,2,0.5,7.33,1,0.0,2.67,0
ESPORTSTMNT03_3116931,2,0.5,3.5,2,1.0,8.5,0,0,0,2,0.5,4.17,0,0,0,1,0.0,2.33,2,0.5,2.88,0,0,0,2,1.0,4.6,1,1.0,1.25,0
ESPORTSTMNT03_3099542,1,0.0,2.0,2,0.5,3.33,0,0,0,2,0.0,1.83,1,0.0,5.5,3,0.67,3.6,3,0.33,8.33,0,0,0,0,0,0,2,0.5,6.5,1
ESPORTSTMNT02_3158472,0,0,0,2,1.0,0.9,0,0,0,3,0.33,11.67,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,3.75,0,0,0,0
ESPORTSTMNT02_3161391,4,0.5,2.9,3,0.33,3.5,0,0,0,5,0.8,7.12,7,0.57,9.78,0,0,0,2,1.0,0.33,5,0.2,4.82,2,1.0,0.27,2,1.0,0.75,1
ESPORTSTMNT02_3152336,6,0.5,4.27,2,1.0,1.0,7,0.57,2.22,2,0.5,2.25,4,0.25,3.0,1,1.0,2.25,0,0,0,0,0,0,2,0.5,5.0,0,0,0,0
ESPORTSTMNT01_3328186,0,0,0,1,0.0,14.0,0,0,0,13,0.38,3.12,9,0.33,3.09,2,0.5,7.0,5,0.4,3.0,1,1.0,20.0,11,0.82,6.78,12,0.75,15.1,0
ESPORTSTMNT01_3340987,0,0,0,14,0.57,3.28,3,1.0,2.5,4,0.75,3.5,0,0,0,3,0.33,9.67,5,0.8,13.25,5,0.6,15.75,2,1.0,6.0,5,0.6,7.8,1
ESPORTSTMNT01_3305685,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,3.4,0,0,0,0,0,0,1,0.0,10.0,1
ESPORTSTMNT01_3313202,1,0.0,1.0,1,1.0,5.5,0,0,0,1,1.0,11.0,0,0,0,1,0.0,3.67,2,0.5,5.8,1,1.0,5.0,1,0.0,16.0,0,0,0,1
ESPORTSTMNT03_3125600,2,0.5,1.5,1,1.0,0.5,2,0.5,0.33,1,1.0,1.0,1,1.0,0.67,4,0.75,3.8,5,0.6,3.9,3,0.0,4.67,0,0,0,0,0,0,0
ESPORTSTMNT03_3124078,7,0.57,4.25,10,0.7,3.52,10,0.6,2.88,7,0.86,6.82,9,0.67,11.0,4,0.0,0.82,5,0.2,1.06,6,0.33,2.79,12,0.75,1.62,6,0.83,2.19,1
ESPORTSTMNT03_3091907,2,0.0,2.25,0,0,0,0,0,0,1,0.0,2.0,2,0.0,2.0,0,0,0,2,0.5,5.67,1,1.0,10.0,1,1.0,5,1,1.0,9.0,0
ESPORTSTMNT03_3116979,2,0.0,4.0,3,1.0,2.4,0,0,0,0,0,0,0,0,0,1,0.0,8.0,3,0.67,3.12,0,0,0,0,0,0,0,0,0,1
ESPORTSTMNT01_3301792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.67,4.33,1,1.0,5.0,0,0,0,0,0,0,1
ESPORTSTMNT03_3127162,2,0.0,2.14,3,0.33,3.18,1,0.0,0.67,3,0.67,5.0,3,0.67,2.7,0,0,0,0,0,0,1,0.0,1.25,5,0.2,6.1,0,0,0,1
ESPORTSTMNT03_3095284,1,1.0,12.0,0,0,0,0,0,0,1,1.0,6.5,1,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ESPORTSTMNT03_3098229,3,0.67,2.38,2,0.0,1.33,0,0,0,4,0.25,2.0,0,0,0,2,0.0,4.25,3,0.33,4.29,2,0.5,11.5,0,0,0,0,0,0,0
ESPORTSTMNT01_3337979,12,0.67,2.36,4,0.25,1.8,1,0.0,5.0,15,0.33,6.0,1,0.0,1.29,1,1.0,4.0,17,0.59,2.87,6,0.17,5.78,2,0.5,7.0,2,0.5,16,1
ESPORTSTMNT01_3324334,2,1.0,1.57,7,0.43,12.0,1,1.0,7,0,0,0,0,0,0,1,1.0,3.0,0,0,0,1,1.0,7.0,1,1.0,0.67,2,0.0,14.0,0
ESPORTSTMNT03_3097500,0,0,0,0,0,0,0,0,0,1,1.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,0,0,0,1
ESPORTSTMNT01_3331791,7,0.43,9.0,14,0.5,2.97,3,0.33,25.0,6,0.67,9.2,4,0.5,3.0,10,0.6,5.08,11,0.73,4.09,5,0.6,6.57,4,0.5,3.3,4,1.0,13.67,1
ESPORTSTMNT01_3330071,9,0.78,2.56,4,0.25,3.8,4,1.0,3.5,2,0.5,3.8,1,1.0,14.0,0,0,0,0,0,0,3,0.67,22,13,0.62,8.0,3,0.33,8.5,0
ESPORTSTMNT02_3164423,2,1.0,5.5,8,0.62,2.95,1,0.0,3.0,2,0.0,1.71,0,0,0,0,0,0,8,0.5,2.65,0,0,0,4,0.25,0.83,5,0.2,1.92,1
ESPORTSTMNT02_3154270,0,0,0,3,0.0,5.33,2,0.5,13.0,1,1.0,10,0,0,0,0,0,0,2,0.5,7.0,1,1.0,12,1,0.0,1.25,2,1.0,13.5,1
ESPORTSTMNT03_3088580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ESPORTSTMNT01_3344140,2,0.5,21.0,8,0.5,4.68,0,0,0,2,0.5,1.6,1,1.0,6.5,9,0.56,3.79,7,0.43,3.53,1,0.0,13.0,4,0.5,5.0,6,0.5,3.71,1
ESPORTSTMNT03_3126561,3,0.33,3.6,3,0.33,4.89,3,0.67,4.86,2,0.0,2.57,2,0.5,4.0,3,0.33,3.38,2,0.5,1.12,4,0.75,6.17,0,0,0,1,1.0,4.5,0
ESPORTSTMNT03_3087532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ESPORTSTMNT01_3308372,6,0.83,4.0,0,0,0,2,1.0,1.33,1,1.0,8,0,0,0,3,0.67,5.0,5,0.4,3.33,2,1.0,9.0,3,0.67,21,4,0.75,7.5,0
ESPORTSTMNT03_3095265,0,0,0,2,0.0,4.71,0,0,0,0,0,0,1,0.0,10.0,0,0,0,0,0,0,1,1.0,13,0,0,0,0,0,0,0
ESPORTSTMNT02_3154355,0,0,0,1,1.0,2.5,0,0,0,3,1.0,3.33,0,0,0,0,0,0,0,0,0,1,0.0,11.0,1,0.0,1.67,3,0.33,4.67,0
ESPORTSTMNT02_3155923,1,1.0,2.0,1,0.0,5.67,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,1,0.0,4.0,1,0.0,4.0,0,0,0,1
ESPORTSTMNT02_3153897,1,0.0,8.0,3,0.33,8.83,0,0,0,3,1.0,3.33,2,1.0,8.67,0,0,0,0,0,0,2,1.0,4.25,0,0,0,0,0,0,0
ESPORTSTMNT01_3304774,0,0,0,1,0.0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,12.0,0,0,0,0,0,0,0,0,0,1
ESPORTSTMNT01_3313115,1,1.0,8.5,2,0.5,4.29,0,0,0,1,0.0,6.67,0,0,0,1,1.0,8,2,0.5,8.25,0,0,0,0,0,0,0,0,0,0
ESPORTSTMNT03_3126281,3,0.67,3.25,3,0.0,3.5,0,0,0,2,0.0,6.5,2,0.0,3.0,0,0,0,1,0.0,1.0,0,0,0,0,0,0,4,0.25,5.71,1
ESPORTSTMNT02_3151911,0,0,0,0,0,0,0,0,0,1,1.0,1.17,0,0,0,1,1.0,0.4,0,0,0,0,0,0,2,0.0,4.4,1,1.0,1.0,0
ESPORTSTMNT01_3336792,8,0.38,3.1,10,0.6,4.46,2,0.5,17.0,8,0.38,5.39,0,0,0,0,0,0,12,0.5,3.4,2,1.0,4.33,3,0.67,7.33,3,0.33,3.75,1
ESPORTSTMNT03_3129001,3,0.33,1.25,2,0.5,4.75,0,0,0,3,0.67,5.4,3,0.67,3.3,0,0,0,0,0,0,0,0,0,2,1.0,3.75,0,0,0,0
ESPORTSTMNT01_3339102,2,0.0,9.0,3,0.67,10.0,7,0.71,5.12,1,1.0,7.0,2,0.5,16,4,0.5,5.17,11,0.45,2.76,2,0.5,2.25,15,0.33,6.0,0,0,0,1
ESPORTSTMNT03_3120402,1,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10.0,1,0.0,0.6,0,0,0,3,0.33,4.44,4,0.75,12.17,0
ESPORTSTMNT03_3090572,0,0,0,0,0,0,0,0,0,3,0.67,1.09,2,0.5,3.0,0,0,0,1,1.0,13.0,1,1.0,3.0,1,1.0,14,0,0,0,0
