game,blueTopChampion,blueTopGP,blueTopWR,blueTopKDA,blueJungleChampion,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidChampion,blueMidGP,blueMidWR,blueMidKDA,blueADCChampion,blueADCGP,blueADCWR,blueADCKDA,blueSupportChampion,blueSupportGP,blueSupportWR,blueSupportKDA,redTopChampion,redTopGP,redTopWR,redTopKDA,redJungleChampion,redJungleGP,redJungleWR,redJungleKDA,redMidChampion,redMidGP,redMidWR,redMidKDA,redAdcChampion,redAdcGP,redAdcWR,redAdcKDA,redSupportChampion,redSupportGP,redSupportWR,redSupportKDA,result
LOLTMNT01_46226,K'Sante,0,0,0,Brand,0,0,0,Orianna,2,1.0,6.67,Varus,1,1.0,1.0,Nautilus,0,0,0,Aatrox,1,1.0,1.33,Rell,0,0,0,Neeko,0,0,0,Lucian,0,0,0,Milio,0,0,0,1
LOLTMNT02_46264,Aatrox,1,1.0,1.0,Nocturne,1,1.0,1.0,Orianna,2,1.0,1.0,Kalista,2,0.0,5.5,Hwei,0,0,0,Jax,2,0.0,3.67,Poppy,0,0,0,Azir,5,0.4,2.58,Senna,1,1.0,3.0,Nautilus,2,0.0,1.13,0
LOLTMNT04_28064,K'Sante,5,0.8,9.4,Maokai,2,1.0,5.75,LeBlanc,4,0.75,4.33,Varus,3,0.67,5.71,Renata Glasc,2,0.0,3.43,Gnar,2,0.5,1.78,Zac,0,0,0,Azir,3,0.67,5.5,Senna,5,1.0,13.5,Nautilus,3,1.0,6.11,1
LOLTMNT04_28065,Rumble,0,0,0,Bel'Veth,1,0.0,2.67,Taliyah,1,1.0,17.0,Senna,5,1.0,13.5,Rell,0,0,0,Kennen,1,1.0,5.0,Viego,1,1.0,5.5,Azir,4,1.0,4.86,Varus,3,0.67,5.71,Nautilus,3,0.67,2.25,0
LOLTMNT04_24477,Jax,0,0,0,Gragas,0,0,0,Orianna,2,0.5,3.0,Varus,2,1.0,3.25,Nautilus,0,0,0,Poppy,0,0,0,Xin Zhao,1,0.0,5.0,Azir,2,1.0,10.0,Aphelios,4,0.25,3.7,Milio,0,0,0,1
LOLTMNT04_24874,Yone,0,0,0,Vi,0,0,0,Corki,1,1.0,6.33,Lucian,1,1.0,7.0,Nami,1,1.0,18,K'Sante,2,0.5,17,Rell,3,0.67,9.0,Azir,3,1.0,10.0,Aphelios,1,0.0,3.0,Milio,3,0.67,8.0,0
LOLTMNT01_59622,Aatrox,5,0.6,6.6,Sejuani,0,0,0,Akali,1,0.0,15,Kalista,0,0,0,Rell,1,1.0,8.5,Gnar,0,0,0,Maokai,0,0,0,Taliyah,2,1.0,13.5,Varus,1,1.0,0.2,Renata Glasc,0,0,0,0
LOLTMNT05_14302,K'Sante,1,1.0,2.5,Maokai,0,0,0,Corki,0,0,0,Nilah,0,0,0,Senna,0,0,0,Yone,0,0,0,Vi,2,0.5,5.0,Tristana,0,0,0,Seraphine,0,0,0,Sona,0,0,0,1
LOLTMNT01_59591,Aatrox,5,0.6,6.6,Brand,1,0.0,5.0,Karma,0,0,0,Xayah,4,0.5,10.5,Rell,1,1.0,8.5,K'Sante,7,0.71,22.67,Ivern,0,0,0,Tristana,0,0,0,Senna,0,0,0,Nautilus,0,0,0,0
LOLTMNT02_34878,Gwen,0,0,0,Xin Zhao,0,0,0,Taliyah,0,0,0,Lucian,1,1.0,9.0,Milio,0,0,0,K'Sante,1,1.0,9.0,Vi,1,1.0,11.0,Azir,1,1.0,7.0,Aphelios,1,1.0,9,Nautilus,0,0,0,0
LOLTMNT02_50982,K'Sante,1,0.0,1.5,Bel'Veth,0,0,0,Karma,0,0,0,Xayah,0,0,0,Rakan,2,0.5,12.5,Gnar,0,0,0,Sejuani,0,0,0,Azir,4,0.5,3.25,Varus,4,0.5,0.83,Rell,1,0.0,9,1
LOLTMNT01_35808,Rumble,0,0,0,Maokai,0,0,0,Tristana,0,0,0,Aphelios,0,0,0,Lulu,0,0,0,K'Sante,2,0.5,1.0,Vi,0,0,0,Taliyah,0,0,0,Lucian,0,0,0,Milio,0,0,0,0
LOLTMNT02_47065,Mordekaiser,0,0,0,Ivern,0,0,0,Tristana,1,0.0,1.0,Varus,1,0.0,4.0,Rell,3,0.0,2.85,K'Sante,6,0.67,1.2,Xin Zhao,1,1.0,2.0,Azir,3,0.33,4.2,Jhin,0,0,0,Leona,0,0,0,1
LOLTMNT02_31179,K'Sante,1,1.0,10,Poppy,0,0,0,Azir,0,0,0,Ashe,1,1.0,15.0,Rakan,0,0,0,Garen,0,0,0,Xin Zhao,0,0,0,Corki,0,0,0,Seraphine,0,0,0,Nautilus,0,0,0,1
LOLTMNT02_31225,Rumble,0,0,0,Jarvan IV,0,0,0,Hwei,0,0,0,Varus,0,0,0,Nautilus,0,0,0,K'Sante,2,0.5,0.67,Bel'Veth,0,0,0,Taliyah,0,0,0,Ashe,0,0,0,Braum,0,0,0,0
LOLTMNT01_35812,Rumble,0,0,0,Xin Zhao,1,1.0,4.33,Corki,0,0,0,Kalista,0,0,0,Rakan,1,0.0,10.0,K'Sante,2,0.5,1.0,Wukong,0,0,0,Neeko,1,0.0,1.0,Varus,0,0,0,Alistar,0,0,0,1
LOLTMNT01_37539,Rumble,0,0,0,Nocturne,0,0,0,Orianna,0,0,0,Kalista,0,0,0,Renata Glasc,0,0,0,Ornn,0,0,0,Maokai,0,0,0,Azir,1,1.0,2.0,Aphelios,0,0,0,Milio,1,1.0,3.0,1
LOLTMNT02_45820,Udyr,1,1.0,2.0,Viego,0,0,0,Azir,2,0.0,16.0,Kalista,0,0,0,Renata Glasc,1,1.0,2.0,K'Sante,1,1.0,3.67,Vi,1,1.0,1.0,Taliyah,0,0,0,Twisted Fate,0,0,0,Maokai,1,1.0,4.75,1
LOLTMNT01_37598,Mordekaiser,0,0,0,Trundle,0,0,0,Orianna,1,1.0,6.0,Ezreal,0,0,0,Karma,0,0,0,K'Sante,0,0,0,Rell,0,0,0,Tristana,0,0,0,Lucian,0,0,0,Nami,0,0,0,1
LOLTMNT05_14237,K'Sante,0,0,0,Lillia,0,0,0,Tristana,0,0,0,Varus,0,0,0,Nautilus,1,1.0,3.33,Poppy,0,0,0,Xin Zhao,2,0.5,23.0,Azir,0,0,0,Jhin,0,0,0,Braum,0,0,0,1
LOLTMNT02_21552,Kennen,0,0,0,Nocturne,0,0,0,Azir,0,0,0,Jhin,0,0,0,Blitzcrank,0,0,0,Jax,0,0,0,Xin Zhao,0,0,0,Orianna,0,0,0,Varus,0,0,0,Rell,0,0,0,0
LOLTMNT01_44462,Aatrox,0,0,0,Viego,0,0,0,Sylas,0,0,0,Kalista,0,0,0,Renata Glasc,0,0,0,Olaf,1,0.0,6,Maokai,0,0,0,Azir,1,0.0,7,Varus,1,1.0,1.0,Neeko,0,0,0,0
LOLTMNT05_14822,Jax,0,0,0,Vi,1,0.0,12,Corki,0,0,0,Lucian,0,0,0,Milio,1,0.0,17.0,Vladimir,0,0,0,Xin Zhao,0,0,0,Akali,0,0,0,Varus,2,1.0,4.5,Nautilus,2,1.0,3.14,0
LOLTMNT02_47330,Aatrox,1,1.0,1.0,Wukong,1,1.0,0.75,Orianna,2,1.0,1.0,Senna,0,0,0,Nautilus,3,0.33,1.7,K'Sante,2,1.0,6.5,Ivern,0,0,0,Tristana,3,0.33,11.0,Kai'Sa,0,0,0,Maokai,0,0,0,0
LOLTMNT01_34432,Jayce,0,0,0,Rell,0,0,0,Corki,0,0,0,Senna,0,0,0,Tahm Kench,0,0,0,Rumble,0,0,0,Xin Zhao,0,0,0,Azir,0,0,0,Lucian,0,0,0,Milio,0,0,0,1
LOLTMNT05_13119,K'Sante,0,0,0,Vi,1,0.0,9.0,Azir,0,0,0,Varus,0,0,0,Zyra,0,0,0,Gwen,1,1.0,6.0,Viego,0,0,0,Neeko,1,0.0,4.5,Ashe,0,0,0,Renata Glasc,2,0.5,16.0,1
LOLTMNT02_31222,Rumble,0,0,0,Vi,0,0,0,Taliyah,0,0,0,Ezreal,0,0,0,Ashe,0,0,0,K'Sante,2,0.5,0.67,Viego,0,0,0,Azir,0,0,0,Varus,0,0,0,Nautilus,0,0,0,0
LOLTMNT01_35439,Aatrox,0,0,0,Rell,0,0,0,Corki,0,0,0,Varus,0,0,0,Blitzcrank,0,0,0,Olaf,0,0,0,Vi,0,0,0,Azir,0,0,0,Jhin,0,0,0,Ashe,0,0,0,0
