golId,game,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35,event36,event37,event38,event39,event40,event41,event42,event43,event44,event45,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
36015,ESPORTSTMNT01_2697203,BLUE: first_blood,BLUE: dragon,BLUE: herald,BLUE: dragon,RED: herald,BLUE: first_tower_bot,RED: first_tower_mid,RED: dragon,RED: first_tower_top,RED: first_tower_bot,RED: dragon,RED: second_tower_mid,BLUE: first_tower_mid,RED: dragon,RED: baron,RED: third_tower_mid,BLUE: first_tower_top,RED: inhibitor_mid,RED: second_tower_bot,RED: third_tower_bot,RED: inhibitor_bot,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8,0.88,4.9,4,0.25,2.3,1,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,11,0.73,3.8,1
36016,ESPORTSTMNT01_2697251,RED: first_blood,RED: dragon,BLUE: herald,BLUE: dragon,BLUE: first_tower_top,RED: dragon,RED: first_tower_bot,RED: herald,RED: first_tower_top,BLUE: first_tower_bot,BLUE: first_tower_mid,RED: dragon,RED: first_tower_mid,BLUE: dragon,BLUE: second_tower_mid,BLUE: baron,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,15,0.53,4.4,5,0.6,3.8,1,0.0,1.0,0,0.0,0.0,4,0.5,2.5,1,1.0,4.7,0,0.0,0.0,0,0.0,0.0,2,0.0,3.5,5,0.4,2.1,0
36017,ESPORTSTMNT01_2697278,BLUE: first_blood,RED: herald,RED: first_tower_bot,RED: first_tower_top,RED: herald,RED: first_tower_mid,RED: dragon,RED: second_tower_top,RED: dragon,RED: second_tower_mid,RED: baron,RED: second_tower_bot,RED: third_tower_bot,RED: inhibitor_bot,RED: dragon,RED: nexus_tower,RED: nexus_tower,RED: third_tower_mid,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,6,0.67,5.0,0,0.0,0.0,3,0.33,1.8,1,1.0,3.5,0,0.0,0.0,0,0.0,0.0,5,0.6,4.2,1,1.0,16.0,1
36018,ESPORTSTMNT01_2697526,RED: dragon,BLUE: herald,RED: first_blood,RED: dragon,RED: first_tower_bot,BLUE: herald,BLUE: dragon,BLUE: first_tower_bot,RED: first_tower_top,BLUE: second_tower_bot,RED: first_tower_mid,RED: baron,RED: dragon,RED: second_tower_mid,RED: second_tower_top,BLUE: first_tower_top,RED: second_tower_bot,RED: third_tower_bot,RED: inhibitor_bot,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,1.0,5,0.2,2.3,2,0.5,3.8,0,0.0,0.0,5,0.6,2.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,9,0.78,4.1,1,0.0,9.0,1
36019,ESPORTSTMNT01_2697556,RED: first_blood,BLUE: dragon,RED: herald,RED: first_tower_top,BLUE: dragon,RED: second_tower_top,BLUE: first_tower_bot,RED: herald,RED: first_tower_bot,RED: dragon,BLUE: first_tower_top,BLUE: first_tower_mid,RED: dragon,RED: second_tower_bot,RED: first_tower_mid,BLUE: baron,RED: second_tower_mid,BLUE: second_tower_mid,BLUE: dragon,RED: third_tower_mid,RED: third_tower_bot,RED: inhibitor_mid,RED: inhibitor_bot,BLUE: baron,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,3,0.0,0.7,0,0.0,0.0,0,0.0,0.0,1,0.0,0.7,3,1.0,9.6,0,0.0,0.0,1,0.0,2.3,4,0.25,1.1,0,0.0,0.0,4,0.5,2.9,0
36020,ESPORTSTMNT01_2697897,BLUE: first_blood,BLUE: herald,RED: dragon,RED: first_tower_bot,RED: first_tower_mid,RED: first_tower_top,BLUE: first_tower_bot,RED: herald,BLUE: first_tower_top,RED: second_tower_bot,BLUE: first_tower_mid,BLUE: second_tower_top,RED: dragon,RED: baron,RED: second_tower_mid,RED: third_tower_bot,RED: inhibitor_bot,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,1,1.0,6.5,0,0.0,0.0,1,0.0,3.3,0,0.0,0.0,0,0.0,0.0,5,0.6,4.4,0,0.0,0.0,1,1.0,7.0,9,0.22,2.1,1
36021,ESPORTSTMNT01_2697580,BLUE: first_blood,RED: dragon,BLUE: herald,BLUE: dragon,BLUE: herald,BLUE: first_tower_top,BLUE: first_tower_mid,RED: first_tower_bot,BLUE: first_tower_bot,BLUE: second_tower_bot,RED: first_tower_top,BLUE: dragon,BLUE: second_tower_top,BLUE: dragon,BLUE: baron,BLUE: second_tower_mid,BLUE: dragon,BLUE: baron,RED: first_tower_mid,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: third_tower_mid,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,1,1.0,7.5,0,0.0,0.0,1,0.0,0.8,8,0.25,1.7,4,0.25,1.9,4,0.25,1.3,1,1.0,15.0,1,1.0,10.0,0,0.0,0.0,0
36022,ESPORTSTMNT01_2697602,BLUE: first_blood,RED: dragon,RED: herald,BLUE: dragon,RED: first_tower_bot,BLUE: herald,BLUE: dragon,BLUE: first_tower_mid,RED: first_tower_top,RED: first_tower_mid,BLUE: first_tower_top,RED: dragon,BLUE: first_tower_bot,BLUE: baron,BLUE: second_tower_mid,BLUE: third_tower_mid,RED: second_tower_mid,RED: second_tower_top,RED: third_tower_top,RED: dragon,BLUE: baron,RED: second_tower_bot,BLUE: dragon,BLUE: second_tower_top,RED: third_tower_mid,RED: inhibitor_mid,BLUE: baron,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,1,0.0,3.0,1,0.0,0.9,0,0.0,0.0,2,0.0,2.6,6,0.5,2.0,0,0.0,0.0,1,1.0,5.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
37552,ESPORTSTMNT06_2210992,RED: first_blood,RED: dragon,RED: herald,RED: dragon,RED: first_tower_mid,RED: herald,RED: dragon,BLUE: first_tower_bot,RED: first_tower_top,BLUE: dragon,RED: baron,BLUE: first_tower_top,BLUE: first_tower_mid,RED: first_tower_bot,RED: second_tower_mid,RED: dragon,BLUE: baron,RED: elder_dragon,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,11,0.45,2.4,10,0.5,2.5,11,0.55,10.2,8,0.63,3.4,1,0.0,1.0,3,0.33,4.2,0,0.0,0.0,2,1.0,10.0,14,0.36,1.9,1
37553,ESPORTSTMNT06_2191020,RED: first_blood,RED: dragon,RED: herald,RED: first_tower_bot,RED: dragon,BLUE: first_tower_top,BLUE: herald,RED: dragon,RED: first_tower_mid,BLUE: first_tower_mid,RED: baron,BLUE: first_tower_bot,RED: second_tower_mid,RED: second_tower_bot,RED: third_tower_bot,RED: inhibitor_bot,RED: dragon,RED: first_tower_top,RED: second_tower_top,RED: nexus_tower,RED: nexus_tower,BLUE: baron,BLUE: elder_dragon,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,1,0.0,2.0,0,0.0,0.0,2,1.0,3.0,2,1.0,10.5,7,0.57,1.9,0,0.0,0.0,3,0.33,2.4,1,0.0,0.7,3,0.33,3.8,2,0.5,1.9,0
